ticker,announced,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,net_pnl,return,usd_invested,trade_days
AMR,2023-11-07,2023-11-08,2023-11-08,221.3000030517578,222.42999267578125,1129,1275.758285522461,1253.178285522461,0.005015768679243228,249847.70344543457,1
FND,2023-10-17,2023-10-18,2023-10-18,91.20999908447266,85.73999786376953,2740,-14987.803344726562,-15042.603344726562,-0.06019078254368416,249915.39749145508,1
H,2023-10-09,2023-10-10,2023-10-10,111.94000244140625,110.70999908447266,2233,-2746.597496032715,-2791.2574960327147,-0.011166726189664808,249962.02545166016,1
HAYW,2023-09-26,2023-09-27,2023-09-27,14.5,14.479999542236328,17241,-344.8278923034668,-689.6478923034667,-0.002758652259563577,249994.5,1
GSHD,2023-08-28,2023-08-29,2023-08-30,68.61000061035156,69.58000183105469,2236,2168.9227294921875,2124.2027294921877,0.013846395747732922,153411.9613647461,2
JXN,2023-08-28,2023-08-29,2023-08-30,37.5,38.0,6666,3333.0,3199.68,0.012799999999999999,249975.0,2
KVUE,2023-08-21,2023-08-22,2023-08-23,23.239999771118164,23.6200008392334,10757,4087.671489715576,3872.5314897155763,0.01549057967559151,249992.6775379181,2
AAP,2023-08-21,2023-08-22,2023-08-23,67.0,69.44000244140625,3731,9103.649108886719,9029.029108886718,0.03611943942397388,249977.0,2
PAG,2023-08-01,2023-08-02,2023-08-02,172.0,173.27000427246094,1453,1845.3162078857422,1816.2562078857422,0.007267466700354288,249916.0,1
ELS,2023-07-19,2023-07-20,2023-07-20,70.27999877929688,70.81999969482422,3557,1920.7832565307617,1849.6432565307616,0.0073989886818342674,249985.95565795898,1
ABR,2023-06-20,2023-06-21,2023-06-21,14.239999771118164,14.430000305175781,17556,3335.6493759155273,2984.5293759155275,0.011938239943122434,249997.4359817505,1
APAM,2023-06-05,2023-06-06,2023-06-15,34.11000061035156,39.18000030517578,4301,21806.068687438965,21720.048687438964,0.14805041349930864,146707.11262512207,10
BERY,2023-06-05,2023-06-06,2023-06-15,60.43000030517578,63.36000061035156,4137,12121.411262512207,12038.671262512207,0.04815489476220542,249998.9112625122,10
BWXT,2023-06-05,2023-06-06,2023-06-15,64.30000305175781,67.7300033569336,3888,13335.841186523438,13258.081186523437,0.0530326616381484,249998.41186523438,10
CARG,2023-06-05,2023-06-06,2023-06-15,20.270000457763672,21.780000686645508,12333,18622.832822799683,18376.172822799683,0.07350765640023194,249989.91564559937,10
CCK,2023-06-05,2023-06-06,2023-06-15,81.56999969482422,86.75,3064,15871.520935058594,15810.240935058593,0.06325855491578718,249930.4790649414,10
CRC,2023-06-05,2023-06-06,2023-06-15,39.720001220703125,42.79999923706055,6294,19385.507514953613,19259.627514953612,0.07703922261619844,249997.68768310547,10
DBX,2023-06-05,2023-06-06,2023-06-15,23.8700008392334,25.829999923706055,10473,20527.07041168213,20317.61041168213,0.08127352393235025,249990.51878929138,10
DOCS,2023-06-05,2023-06-06,2023-06-15,33.650001525878906,32.349998474121094,7429,-9657.722671508789,-9806.302671508789,-0.03922742917983672,249985.8613357544,10
GPK,2023-06-05,2023-06-06,2023-06-15,25.360000610351562,26.170000076293945,9858,7984.97473526001,7787.81473526001,0.03115139774956934,249998.8860168457,10
MC,2023-06-05,2023-06-06,2023-06-15,39.400001525878906,46.529998779296875,5181,36940.515769958496,36836.89576995849,0.18045677609296396,204131.4079055786,10
OVV,2023-06-05,2023-06-06,2023-06-15,35.33000183105469,37.540000915527344,7076,15637.953521728516,15496.433521728515,0.061986950777558995,249995.09295654297,10
PANW,2023-06-05,2023-06-06,2023-06-15,112.67500305175781,121.9000015258789,2218,20461.046615600586,20416.686615600585,0.08169512513696345,249913.15676879883,10
PECO,2023-06-05,2023-06-06,2023-06-15,30.700000762939453,33.630001068115234,6703,19639.79204559326,19505.73204559326,0.09478828120058833,205782.10511398315,10
PLNT,2023-06-05,2023-06-06,2023-06-15,67.55999755859375,69.95999908447266,3700,8880.005645751953,8806.005645751953,0.03522796938846493,249971.99096679688,10
SDGR,2023-06-05,2023-06-06,2023-06-15,38.099998474121094,45.2599983215332,6561,46976.75899887085,46845.53899887085,0.18740157830352294,249974.0899887085,10
UFPT,2023-06-05,2023-06-06,2023-06-15,161.75,182.02999877929688,728,14763.839111328125,14749.279111328126,0.12525501563707497,117754.0,10
WCC,2023-06-05,2023-06-06,2023-06-15,146.6199951171875,168.6699981689453,1705,37595.25520324707,37561.15520324707,0.150252378839258,249987.0916748047,10
ZI,2023-06-05,2023-06-06,2023-06-15,26.469999313354492,28.399999618530273,9444,18226.922882080078,18038.042882080077,0.0721571724488923,249982.67351531982,10
PRVA,2023-06-07,2023-06-08,2023-06-12,27.5,28.299999237060547,9090,7271.993064880371,7090.193064880371,0.02836360862038352,249975.0,5
EXPI,2023-06-07,2023-06-08,2023-06-12,18.229999542236328,19.049999237060547,9059,7428.377235412598,7247.197235412597,0.04388369253497416,165145.5658531189,5
STAG,2023-05-01,2023-05-02,2023-05-02,35.41999816894531,34.560001373291016,7058,-6069.857383728027,-6211.017383728027,-0.024844631314121273,249994.34707641602,1
CTKB,2023-04-25,2023-04-26,2023-04-27,10.430000305175781,10.9399995803833,8082,4121.814142227173,3960.174142227173,0.04697979490608092,84295.26246643066,2
NABL,2023-03-28,2023-03-29,2023-03-30,13.800000190734863,13.449999809265137,4332,-1516.2016525268555,-1602.8416525268556,-0.026811621475059104,59781.60082626343,2
CERT,2023-03-15,2023-03-16,2023-03-20,21.90999984741211,22.860000610351562,10311,9795.457866668701,9589.237866668702,0.04244640663698133,225914.00842666626,5
ALV,2023-03-06,2023-03-07,2023-03-16,95.31999969482422,89.88999938964844,2622,-14237.460800170898,-14289.900800170899,-0.05717583217188901,249929.0391998291,10
ARMK,2023-03-06,2023-03-07,2023-03-16,28.10830307006836,24.231046676635742,8894,-34484.3183631897,-34662.198363189695,-0.13865142921355084,249995.247505188,10
AXTA,2023-03-06,2023-03-07,2023-03-16,30.940000534057617,28.40999984741211,8080,-20442.405548095703,-20604.0055480957,-0.08241760318777501,249995.20431518555,10
CHRD,2023-03-06,2023-03-07,2023-03-16,142.92999267578125,125.33000183105469,1749,-30782.383987426758,-30817.363987426757,-0.12327707092727067,249984.5571899414,10
