ticker,entry_date,exit_date,shares,entry_open,exit_close,spy_open,spy_close,gross_pnl_stock,gross_pnl_spy,total_cost,carry_stock,carry_spy,net_pnl,return,usd_invested,trade_days,hold_days
PLNT,2023-06-06,2023-06-14,552,67.55999755859375,71.0,426.6700134277344,437.17999267578125,1898.88134765625,-918.6253797924041,11.040000000000001,76.95405436197917,485.9974629138765,406.2644505879902,0.010893818089479031,37293.11865234375,9,9
SDGR,2023-06-06,2023-06-14,979,38.099998474121094,39.869998931884766,426.6700134277344,437.17999267578125,1732.8304481506348,-918.7923850206107,19.580000000000002,76.96804453653003,861.9411525229804,-144.45113392948633,-0.0038726950934092463,37299.89850616455,9,9
UFPT,2023-06-06,2023-06-14,230,161.75,183.24000549316406,426.6700134277344,437.17999267578125,4942.701263427734,-916.3932094367526,4.6000000000000005,76.7670634920635,202.4989428807819,3742.442047618136,0.10059652033111043,37202.5,9,9
WCC,2023-06-06,2023-06-14,254,146.6199951171875,164.00999450683594,426.6700134277344,437.17999267578125,4417.059844970703,-917.3533564903508,5.08,76.84749585348463,223.62926735529825,3194.149725271569,0.08576860617904397,37241.478759765625,9,9
ZI,2023-06-06,2023-06-14,1409,26.469999313354492,27.649999618530273,426.6700134277344,437.17999267578125,1662.6204299926758,-918.701996451743,28.18,76.96047260678004,1240.5261326913985,-601.7481717572457,-0.01613428990991597,37296.22903251648,9,9
PRVA,2023-06-08,2023-06-12,1356,27.5,28.299999237060547,426.6199951171875,433.79998779296875,1084.7989654541016,-627.5887908309062,27.12,38.47380952380953,596.8616884068081,-205.2453233074222,-0.005504031196230148,37290.0,5,9
EXPI,2023-06-08,2023-06-12,2046,18.229999542236328,19.049999237060547,426.6199951171875,433.79998779296875,1677.7193756103516,-627.7331760289596,40.92,38.482660938444596,900.5744944545202,70.0090441884272,0.0018769895783267484,37298.57906341553,5,9
STAG,2023-05-02,2023-05-02,1053,35.41999816894531,34.560001373291016,414.7699890136719,410.8399963378906,-905.5766258239746,353.3957492870976,21.06,0.0,0.0,-573.240876536877,-0.015369517926272693,37297.258071899414,1,9
CTKB,2023-04-26,2023-04-27,3577,10.430000305175781,10.9399995803833,406.7200012207031,412.4100036621094,1824.2674074172974,-521.9395224193665,71.54,9.623123892678155,375.2556900151571,845.9090710900955,0.022673596875834368,37308.11109161377,2,9
NABL,2023-03-29,2023-03-30,2703,13.800000190734863,13.449999809265137,399.92999267578125,403.70001220703125,-946.0510311126709,-351.62906274106564,54.06,9.62139299012366,278.832143107823,-1640.193629951683,-0.04397136856209058,37301.400515556335,2,9
CERT,2023-03-16,2023-03-20,1703,21.90999984741211,22.860000610351562,386.82000732421875,393.739990234375,1617.8512992858887,-667.5028365754883,34.06,38.497260843004504,679.6673128691175,198.1238889982784,0.00530982027790712,37312.72974014282,5,9
ALV,2023-03-07,2023-03-15,391,95.31999969482422,88.22000122070312,404.4200134277344,389.2799987792969,-2776.0994033813477,1395.2577573001086,7.82,76.90659657917327,326.2963378179641,-1791.8645804783764,-0.04807777882698516,37270.11988067627,9,9
ARMK,2023-03-07,2023-03-15,1327,28.10830307006836,24.25992774963379,404.4200134277344,389.2799987792969,-5106.794050216675,1396.3658097686298,26.54,76.96767242249989,1107.404706609817,-4921.340619480362,-0.13194042369235265,37299.71817398071,9,9
AXTA,2023-03-07,2023-03-15,1205,30.940000534057617,27.81999969482422,404.4200134277344,389.2799987792969,-3759.601011276245,1395.7287353123545,24.1,76.93255688349407,1005.5935730707079,-3470.4984059180924,-0.09308602504683312,37282.70064353943,9,9
CHRD,2023-03-07,2023-03-15,261,142.92999267578125,123.22000122070312,404.4200134277344,389.2799987792969,-5144.307769775391,1396.5533627453808,5.22,76.97801034109933,217.80906437465126,-4047.7614817457606,-0.10850532061663012,37304.728088378906,9,9
HGV,2023-03-07,2023-03-15,743,50.18000030517578,43.040000915527344,404.4200134277344,389.2799987792969,-5305.019546508789,1395.7676535271985,14.86,76.93470205518935,620.0464936029344,-4621.093088639715,-0.12394392463138018,37283.740226745605,9,9
HTZ,2023-03-07,2023-03-15,1912,19.510000228881836,16.0,404.4200134277344,389.2799987792969,-6711.12043762207,1396.493178147191,38.24,76.97469296652174,1595.5974371047248,-7025.439389546125,-0.1883338258871399,37303.12043762207,9,9
SSB,2023-03-07,2023-03-15,456,81.80999755859375,73.7300033569336,404.4200134277344,389.2799987792969,-3684.4773559570312,1396.5769775413562,9.120000000000001,76.97931198846727,380.5399745396206,-2754.5396649437625,-0.07383764014462862,37305.35888671875,9,9
STWD,2023-03-07,2023-03-15,1813,20.56999969482422,17.540000915527344,404.4200134277344,389.2799987792969,-5493.387786865234,1396.1296339612395,36.26,76.95465441385906,1512.980205790202,-5723.4530131080555,-0.15347089735213273,37293.40944671631,9,9
USFD,2023-03-07,2023-03-15,931,40.04999923706055,35.5099983215332,404.4200134277344,389.2799987792969,-4226.740852355957,1395.8728146293122,18.62,76.94049853430855,776.9357813517254,-3703.3643176126784,-0.09932172293120613,37286.54928970337,9,9
VAL,2023-03-07,2023-03-15,496,75.08999633789062,61.66999816894531,404.4200134277344,389.2799987792969,-6656.319091796875,1394.303815224328,9.92,76.85401529947917,413.9206740606399,-5762.709965932666,-0.15472589470532533,37244.63818359375,9,9
WMS,2023-03-07,2023-03-15,413,90.27999877929688,79.77999877929688,404.4200134277344,389.2799987792969,-4336.5,1395.83875525585,8.26,76.9386211819119,344.6557225545248,-3370.515588480587,-0.09039715112988127,37285.63949584961,9,9
AUB,2023-03-07,2023-03-15,936,39.83000183105469,35.5099983215332,404.4200134277344,389.2799987792969,-4043.5232849121094,1395.6606411998778,18.72,76.92880353655134,781.1083687918527,-3524.619816040635,-0.09454228693120205,37280.88171386719,9,9
KW,2023-03-07,2023-03-15,2025,18.420000076293945,17.510000228881836,404.4200134277344,389.2799987792969,-1842.7496910095215,1396.3950842754584,40.5,76.96928603308542,1689.8979132516045,-2253.721806018753,-0.060420685960886435,37300.50015449524,9,9
RDN,2023-03-07,2023-03-15,1646,22.65999984741211,20.84000015258789,404.4200134277344,389.2799987792969,-2995.719497680664,1396.3149552712227,32.92,76.96486932300387,1373.6157852899462,-3082.9051970223913,-0.08265524858953735,37298.35974884033,9,9
BG,2023-03-14,2023-03-13,370,100.7300033569336,91.38999938964844,390.5,385.3599853515625,-3455.801467895508,490.57328126239435,7.4,-9.613319764818465,-37.26795634920635,-2925.746910519089,-0.07850117957868338,37270.10124206543,0,9
VRRM,2023-02-24,2023-02-27,2214,16.850000381469727,17.040000915527344,395.4200134277344,397.7300109863281,420.66118240356445,-217.9367177828892,44.28,28.867661367825104,677.4392158617293,-547.8624126088791,-0.014685677070000683,37305.900844573975,4,9
OTTR,2023-02-17,2023-02-21,548,67.9800033569336,69.66000366210938,406.05999755859375,399.0899963378906,920.6401672363281,639.4467533321755,10.96,38.43567808847579,229.5850335402716,1281.1062089397562,0.034389304756798494,37253.04183959961,5,9
CRK,2023-01-31,2023-02-02,3009,12.399999618530273,12.050000190734863,401.1300048828125,416.7799987792969,-1053.1482782363892,-1455.7033560103039,60.18,19.248047026906697,622.6588254365467,-3210.9385067101457,-0.0860573817657366,37311.59885215759,3,9
NOG,2023-01-27,2023-01-31,1051,35.5,33.52000045776367,403.6600036621094,406.4800109863281,-2080.979518890381,-260.6547151457107,21.02,38.49496031746032,437.7148119075715,-2838.8640062611234,-0.07608753584811577,37310.5,5,9
SMCI,2022-12-20,2022-12-20,4478,8.331999778747559,8.331000328063965,379.2300109863281,380.5400085449219,-4.4755401611328125,-128.88462926340358,89.56,0.0,0.0,-222.9201694245364,-0.005974698926658444,37310.69500923157,1,9
FSLR,2022-12-13,2022-12-15,244,152.88999938964844,159.41000366210938,410.2200012207031,389.6300048828125,1590.8810424804688,1872.441866394488,4.88,19.244725319998608,51.635628725082164,3387.562554829876,0.09080680979128225,37305.15985107422,3,9
NXST,2022-11-29,2022-11-29,201,185.32000732421875,187.61000061035156,396.04998779296875,395.2300109863281,460.2886505126953,77.120516630958,4.0200000000000005,0.0,0.0,533.3891671436534,0.014319433108122313,37249.32147216797,1,9
AR,2022-10-18,2022-10-18,1049,35.54999923706055,35.79999923706055,375.1300048828125,371.1300048828125,262.25,397.64293673417257,20.98,0.0,0.0,638.9129367341725,0.017132731070536658,37291.949199676514,1,9
TRGP,2022-10-07,2022-10-10,579,64.38999938964844,63.36000061035156,368.9700012207031,360.0199890136719,-596.3692932128906,904.3354482299861,11.58,28.849019369397844,165.3117380469186,102.22539760077905,0.0027419644746264093,37281.809646606445,4,9
LNTH,2022-10-07,2022-10-10,530,70.38999938964844,66.2300033569336,368.9700012207031,360.0199890136719,-2204.797897338867,904.9391994042444,10.6,28.868279511587964,151.32162550063362,-1490.6486029468444,-0.03995659267295837,37306.69967651367,4,9
PAYO,2022-10-07,2022-10-10,4981,7.489999771118164,7.460000038146973,368.9700012207031,360.0199890136719,-149.4286699295044,904.963193776978,99.62,28.86904495114372,1422.1377672050114,-795.0922883086815,-0.021311754027262715,37307.688859939575,4,9
FYBR,2022-09-28,2022-09-29,1575,23.68000030517578,23.18000030517578,364.3800048828125,362.7900085449219,-787.5,162.74357370755004,31.5,9.620000123977663,148.0293769836426,-813.9058034000702,-0.021822870895293514,37296.000480651855,2,9
CSGP,2022-09-07,2022-09-15,493,75.68000030517578,72.48999786376953,390.42999267578125,390.1199951171875,-1572.6712036132812,29.6239622317929,9.86,76.98938443743994,397.1850512792194,-2027.0816770981476,-0.054330437674055244,37310.24015045166,9,9
INVH,2022-09-07,2022-09-15,981,38.02000045776367,37.20000076293945,390.42999267578125,390.1199951171875,-804.4197006225586,29.613942313515423,19.62,76.96334378378732,790.3418566022601,-1661.7309586950905,-0.04455327011985549,37297.62044906616,9,9
DT,2022-09-07,2022-09-15,984,37.88999938964844,38.63999938964844,390.42999267578125,390.1199951171875,738.0,29.602936776972886,19.68,76.93474161783855,792.7588041759674,-121.77060901683296,-0.0032660496414089256,37283.75939941406,9,9
NLY,2022-09-07,2022-09-15,1432,26.040000915527344,24.559999465942383,390.42999267578125,390.1199951171875,-2119.362075805664,29.607321120269816,28.64,76.94613603864398,1153.6896418495785,-3349.0305325736167,-0.08981215016290822,37289.281311035156,9,9
OUT,2022-09-07,2022-09-15,1973,18.903688430786133,18.75,390.42999267578125,390.1199951171875,-303.22727394104004,29.613431638817588,39.46,76.9620165970212,1589.5458543081133,-1979.581713207357,-0.05307619699761749,37296.97727394104,9,9
CPRX,2022-09-13,2022-09-13,2308,16.15999984741211,15.300000190734863,401.8299865722656,393.1000061035156,-1984.879207611084,810.3041926774689,46.160000000000004,0.0,0.0,-1220.735014933615,-0.03272986733778403,37297.27964782715,1,9
CELH,2022-08-05,2022-08-08,1082,34.470001220703125,33.77333450317383,409.6600036621094,412.989990234375,-753.7933883666992,-303.17087506705985,21.64,28.860418879191087,342.9927149709066,-1450.4573972838566,-0.0388898634006826,37296.54132080078,4,9
CLFD,2022-08-05,2022-08-08,339,109.80000305175781,110.47000122070312,409.6600036621094,412.989990234375,227.12937927246094,-302.56658821260936,6.78,28.80289365768433,107.4625973892212,-218.48269998705396,-0.005869687818414616,37222.2010345459,4,9
AHCO,2022-08-02,2022-08-02,1548,24.100000381469727,24.149999618530273,409.1199951171875,408.05999755859375,77.39881896972656,96.65897051441519,30.96,0.0,0.0,143.09778948414174,0.003835702531953996,37306.80059051514,1,9
SHO,2022-07-19,2022-07-19,3533,10.5600004196167,10.850000381469727,386.0799865722656,392.2699890136719,1024.5698652267456,-598.165145808831,70.66,0.0,0.0,355.74471941791467,0.00953522376901686,37308.4814825058,1,9
GRBK,2022-07-14,2022-07-18,1574,23.700000762939453,23.309999465942383,373.6099853515625,381.95001220703125,-613.8620414733887,-832.725879993653,31.48,38.488048858037075,606.730755576482,-2123.2867259015607,-0.056918776573692154,37303.8012008667,5,9
ORA,2022-06-29,2022-07-05,485,76.87000274658203,76.4800033569336,381.2300109863281,381.9599914550781,-189.1497039794922,-71.3876020382126,9.700000000000001,57.69825801395235,286.1494308653332,-614.0849948969903,-0.01647137483301166,37281.951332092285,7,9
LRN,2022-06-29,2022-06-30,905,41.220001220703125,40.790000915527344,381.2300109863281,377.25,-389.15027618408203,389.45184784329655,18.1,9.622089570666118,88.99148966774109,-116.4120075791927,-0.003120622240765169,37304.10110473633,2,9
SNCY,2022-06-29,2022-06-30,1995,18.700000762939453,18.34000015258789,381.2300109863281,377.25,-718.2012176513672,389.4769080092368,39.9,9.622708725929261,196.17460982004803,-574.4216281881077,-0.015397359836820322,37306.50152206421,2,9
EHAB,2022-06-29,2022-06-29,496,25.0,23.75,381.2300109863281,380.3399963378906,-620.0,28.948879475862636,9.92,0.0,0.0,-600.9711205241373,-0.048465412945494946,12400.0,1,9
EYE,2022-06-14,2022-06-14,1318,28.299999237060547,26.690000534057617,376.8500061035156,373.8699951171875,-2121.9782905578613,294.951882676506,26.36,0.0,0.0,-1853.3864078813551,-0.04968944427649733,37299.3989944458,1,9
IRT,2022-05-13,2022-05-17,1701,21.93000030517578,22.68000030517578,396.7099914550781,408.32000732421875,1275.75,-1091.6982799040209,34.02,38.4871505355835,696.2260350036622,-584.6814654432666,-0.015673874875429233,37302.930519104004,5,9
AOSL,2022-05-13,2022-05-17,976,38.22999954223633,40.58000183105469,396.7099914550781,408.32000732421875,2293.6022338867188,-1091.9777395597907,19.52,38.49700271364243,399.48066441127236,744.1268272020134,0.019943108475023435,37312.479553222656,5,9
SNDR,2024-07-24,2024-07-29,1435,26.0,26.260000228881836,548.8599853515625,544.760009765625,373.10032844543457,278.7051218779337,28.7,48.11805555555556,1015.7721256679961,-440.7847309001834,-0.011814117686952114,37310.0,6,10
AVTR,2024-07-24,2024-07-24,1653,22.56999969482422,22.3700008392334,548.8599853515625,541.22998046875,-330.598108291626,518.6419637380936,33.06,0.0,0.0,154.98385544646766,0.004154148846649335,37308.20949554443,1,10
GTES,2024-07-17,2024-07-18,2089,17.860000610351562,17.229999542236328,558.7999877929688,552.6599731445312,-1316.0722312927246,409.95192369260803,41.78,9.623492789192806,301.09784262884233,-1258.6216430181516,-0.033734578341243035,37309.541275024414,2,10
PTGX,2024-06-28,2024-07-01,1052,35.459999084472656,35.20000076293945,547.1599731445312,545.3400268554688,-273.5182342529297,124.07912192198593,21.04,28.86612782614572,445.41427337646485,-644.7595135335544,-0.017283961851203275,37303.919036865234,4,10
RYAN,2024-06-21,2024-06-26,633,58.88999938964844,57.59000015258789,544.4000244140625,545.510009765625,-822.8995170593262,-76.00538640765885,12.66,48.075972716013595,444.4313294546945,-1404.072205637693,-0.03766553864153693,37277.36961364746,6,10
SRPT,2024-05-30,2024-05-30,303,122.94999694824219,124.44999694824219,524.52001953125,522.6099853515625,454.5,135.6595028009916,6.0600000000000005,0.0,0.0,584.0995028009917,0.015678903450220612,37253.84907531738,1,10
IAC,2024-05-02,2024-05-02,872,42.78916931152344,44.01968765258789,504.1499938964844,505.0299987792969,1073.0119934082031,-65.12918684650916,17.44,0.0,0.0,990.4428065616939,0.026544775813200003,37312.15563964844,1,10
DUOL,2024-04-18,2024-04-18,178,208.8800048828125,205.05999755859375,501.9800109863281,499.5199890136719,-679.9613037109375,182.20883599689398,3.56,0.0,0.0,-501.3124677140435,-0.013483158331736163,37180.640869140625,1,10
ROIV,2024-03-27,2024-03-27,3480,10.720000267028809,10.84000015258789,521.7100219726562,523.1699829101562,417.59960174560547,-104.39653794792976,69.60000000000001,0.0,0.0,243.6030637976757,0.006529932710629739,37305.600929260254,1,10
APPF,2024-03-26,2024-03-27,153,242.99000549316406,247.6699981689453,521.22998046875,523.1699829101562,716.0388793945312,-138.37343763481923,3.06,9.589427002498082,20.569968872070316,544.4460458851438,0.014644515443818548,37177.4708404541,2,10
CXM,2024-02-29,2024-02-29,2743,13.600000381469727,13.029999732971191,508.07000732421875,508.0799865722656,-1563.511778831482,-0.732721588785895,54.86,0.0,0.0,-1619.1045004202676,-0.043402040890330756,37304.80104637146,1,10
AMH,2024-02-27,2024-02-28,1002,37.22999954223633,36.189998626708984,506.70001220703125,506.260009765625,-1042.0809173583984,32.39402581031566,20.04,9.622182024547033,130.95782458350774,-1170.3068981561378,-0.031371769288329486,37304.4595413208,2,10
PSTG,2024-01-03,2024-01-03,1004,37.130001068115234,36.52000045776367,470.42999267578125,468.7900085449219,-612.4406127929688,129.95808926400125,20.080000000000002,0.0,0.0,-502.56252352896746,-0.013481289200102333,37278.521072387695,1,10
SATS,2023-12-28,2023-12-28,2467,15.119999885559082,16.079999923706055,476.8800048828125,476.69000244140625,2368.3200941085815,14.861786069414302,49.34,0.0,0.0,2333.841880177996,0.0625677433616457,37301.039717674255,1,10
RUSHA,2023-12-20,2023-12-28,793,47.02000045776367,49.06999969482422,473.9599914550781,476.69000244140625,1625.6493949890137,-214.77242862668646,15.860000000000001,76.94114043160091,775.5640558587938,542.5117700719327,0.014549676877868076,37286.86036300659,9,10
CG,2023-11-28,2023-11-28,1066,35.0,34.43000030517578,454.0799865722656,454.92999267578125,-607.6196746826172,-69.84172097424253,21.32,0.0,0.0,-698.7813956568598,-0.018729064477535775,37310.0,1,10
WPC,2023-11-28,2023-11-28,607,61.38999938964844,61.61000061035156,454.0799865722656,454.92999267578125,133.54074096679688,-69.75510606390544,12.14,0.0,0.0,51.64563490289143,0.0013859491633382538,37263.7296295166,1,10
CWEN,2023-11-28,2023-11-28,1511,24.68000030517578,25.219999313354492,454.0799865722656,454.92999267578125,815.9385013580322,-69.80705368753691,30.22,0.0,0.0,715.9114476704952,0.01919772127086483,37291.480461120605,1,10
CWEN-A,2023-11-28,2023-11-28,1634,22.829999923706055,24.239999771118164,454.0799865722656,454.92999267578125,2303.9397506713867,-69.83090098351616,32.68,0.0,0.0,2201.4288496878708,0.05901286388094078,37304.21987533569,1,10
