ticker,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,spy_pnl,hedge_ratio,carry_cost,net_pnl,return,usd_invested,trade_days,hold_days,min_adv
TRGP,2022-10-07,2022-10-12,64.38999938964844,64.83999633789062,579,260.54823303222656,620.5001831054688,0.5,41.6739132488094,827.794502888886,0.02220371035460816,37281.809646606445,6,6,5
LNTH,2022-10-07,2022-10-12,70.38999938964844,67.72000122070312,530,-1415.0990295410156,620.5001831054688,0.5,41.701735528815284,-846.9005819643621,-0.022701031967658238,37306.69967651367,6,6,5
PAYO,2022-10-07,2022-10-12,7.489999771118164,7.360000133514404,4981,-647.5281949043274,620.5001831054688,0.5,41.70284124617903,-168.35085304503764,-0.0045124975089467475,37307.688859939575,6,6,5
FYBR,2022-09-28,2022-10-03,23.68000030517578,23.950000762939453,1575,425.2507209777832,-113.72900390625,0.5,41.68977587974234,238.33194119179086,0.006390281481131762,37296.000480651855,6,6,5
CSGP,2022-09-07,2022-09-12,75.68000030517578,78.44000244140625,493,1360.681053161621,-965.3804016113281,0.5,41.705693099682954,343.73495845061007,0.009212885177487902,37310.24015045166,6,6,5
INVH,2022-09-07,2022-09-12,38.02000045776367,40.11000061035156,981,2050.2901496887207,-965.3804016113281,0.5,41.691586693750665,1023.598161383642,0.02744406074863337,37297.62044906616,6,6,5
DT,2022-09-07,2022-09-12,37.88999938964844,41.5099983215332,984,3562.0789489746094,-965.3804016113281,0.5,41.676092698523114,2535.3424546647584,0.06800125565407986,37283.75939941406,6,6,5
NLY,2022-09-07,2022-09-12,26.040000915527344,26.559999465942383,1432,744.6379241943359,-965.3804016113281,0.5,41.68226513671875,-291.06474255371097,-0.007805587351654726,37289.281311035156,6,6,5
OUT,2022-09-07,2022-09-12,18.903688430786133,20.38934326171875,1973,2931.1969814300537,-965.3804016113281,0.5,41.69086774730944,1884.6657120714162,0.050531325855948384,37296.97727394104,6,6,5
CELH,2022-08-05,2022-08-10,34.470001220703125,34.20333480834961,1082,-288.5330581665039,-464.8493957519531,0.5,41.690380435306075,-816.7128343537631,-0.021897816940421536,37296.54132080078,6,6,5
CLFD,2022-08-05,2022-08-10,109.80000305175781,116.62000274658203,339,2311.97989654541,-464.8493957519531,0.5,41.60728225231432,1798.7432185411426,0.048324472184536595,37222.2010345459,6,6,5
NOVT,2022-07-22,2022-07-27,152.14999389648438,148.7899932861328,245,-823.2001495361328,-97.519775390625,0.5,41.66825586271939,-967.2881807894772,-0.025948834584355155,37276.74850463867,6,6,5
GRBK,2022-07-14,2022-07-19,23.700000762939453,23.899999618530273,1574,314.7981986999512,-914.3401794433594,0.5,41.69849558891401,-672.7204763323223,-0.018033563730140527,37303.8012008667,6,6,5
IRT,2022-05-13,2022-05-18,21.93000030517578,22.190000534057617,1701,442.26038932800293,227.95028686523438,0.5,41.69752233368338,594.493153859554,0.015936902157193664,37302.930519104004,6,6,5
AOSL,2022-05-13,2022-05-18,38.22999954223633,39.90999984741211,976,1639.6802978515625,227.95028686523438,0.5,41.708196322506424,1806.4023883942905,0.04841282085843777,37312.479553222656,6,6,5
DVAX,2022-05-13,2022-05-18,9.0,9.619999885559082,4145,2569.899525642395,227.95028686523438,0.5,41.69983561643836,2673.2499768911907,0.07165929438121407,37305.0,6,6,5
