ticker,entry_date,exit_date,entry_open,exit_close,shares,gross_pnl,net_pnl,return,usd_invested,trade_days
CWEN-A,2023-11-29,2023-11-29,24.559999465942383,23.899999618530273,7019,-4632.538928985596,-4772.918928985596,-0.027687290806136723,172386.63625144958,1
CNM,2023-11-10,2023-11-10,31.760000228881836,31.450000762939453,7871,-2440.005796432495,-2597.425796432495,-0.010390411321291133,249982.96180152893,1
AMR,2023-11-09,2023-11-09,224.05999755859375,219.5,1115,-5084.397277832031,-5106.697277832031,-0.020440942642588573,249826.89727783203,1
FND,2023-10-19,2023-10-19,85.2699966430664,84.29000091552734,2931,-2872.367477416992,-2930.987477416992,-0.011727404326341973,249926.36016082764,1
H,2023-10-11,2023-10-11,110.69999694824219,108.29000091552734,2258,-5441.771041870117,-5486.931041870117,-0.021951184279173818,249960.59310913086,1
HAYW,2023-09-28,2023-09-28,14.460000038146973,14.539999961853027,17289,1383.1186809539795,1037.3386809539795,0.00414937230620807,249998.940659523,1
GSHD,2023-08-30,2023-08-31,69.0999984741211,69.86000061035156,2618,1989.6855926513672,1937.3255926513673,0.010709148372957054,180903.79600524902,2
JXN,2023-08-30,2023-08-31,39.0,37.599998474121094,6410,-8974.009780883789,-9102.20978088379,-0.036410295535356574,249990.0,2
KVUE,2023-08-23,2023-08-24,23.850000381469727,23.65999984741211,10482,-1991.5855979919434,-2201.2255979919432,-0.008805053698061038,249995.70399856567,2
AAP,2023-08-23,2023-08-24,67.48999786376953,67.91000366210938,3704,1555.7014770507812,1481.6214770507813,0.005926890072618861,249982.95208740234,2
ERIE,2023-08-03,2023-08-07,257.0400085449219,274.9800109863281,972,17437.682373046875,17418.242373046876,0.06971678277965215,249842.88830566406,5
PAG,2023-08-03,2023-08-03,173.39999389648438,172.74000549316406,1441,-951.0432891845703,-979.8632891845704,-0.00392150188728524,249869.39120483398,1
ELS,2023-07-21,2023-07-21,71.36000061035156,72.0,3503,2241.9178619384766,2171.8578619384766,0.008688332179729545,249974.08213806152,1
ABR,2023-06-22,2023-06-22,14.34000015258789,14.079999923706055,17433,-4532.583990097046,-4881.243990097046,-0.019525817705887908,249989.2226600647,1
PRVA,2023-06-09,2023-06-13,27.68000030517578,28.8799991607666,9031,10837.189664840698,10656.569664840697,0.042630015989204184,249978.08275604248,5
EXPI,2023-06-09,2023-06-13,20.34000015258789,19.969999313354492,10477,-3876.4987926483154,-4086.0387926483154,-0.01917408241433951,213102.18159866333,5
STAG,2023-05-03,2023-05-03,34.7400016784668,35.0,7196,1870.9479217529297,1727.0279217529296,0.006908414218124906,249989.05207824707,1
CTKB,2023-04-27,2023-04-28,10.890000343322754,11.479999542236328,8916,5260.432857513428,5082.112857513428,0.052341522584346975,97095.24306106567,2
NABL,2023-03-30,2023-03-31,13.510000228881836,13.199999809265137,5431,-1683.6122789382935,-1792.2322789382933,-0.024426381497109115,73372.81124305725,2
CERT,2023-03-17,2023-03-21,22.760000228881836,24.719999313354492,10984,21528.629943847656,21308.949943847656,0.08523721726552748,249995.8425140381,5
CVI,2023-03-17,2023-03-20,29.43000030517578,30.530000686645508,8494,9343.403240203857,9173.523240203858,0.036697260287822345,249978.4225921631,4
BG,2023-03-15,2023-03-14,101.7699966430664,104.62000274658203,2456,6999.614990234375,6950.494990234375,0.02780786279713839,249947.1117553711,0
CRK,2023-02-01,2023-02-03,11.979999542236328,11.899999618530273,20868,-1669.4384078979492,-2086.7984078979493,-0.00834723935952568,249998.6304473877,3
DV,2023-01-27,2023-01-30,27.489999771118164,26.950000762939453,9094,-4910.750980377197,-5092.630980377197,-0.02037100810626645,249994.05791854858,4
SMCI,2022-12-21,2022-12-21,8.402000427246094,8.38700008392334,29754,-446.3202152252197,-1041.4002152252197,-0.004165715489522523,249993.12071228027,1
ALGM,2023-12-04,2022-12-16,26.920000076293945,30.15999984741211,9286,30086.63787460327,29900.91787460327,0.11961366129243559,249979.12070846558,-352
CUBE,2023-12-04,2022-12-16,40.79999923706055,40.439998626708984,6127,-2205.7237396240234,-2328.2637396240234,-0.009313740623955458,249981.59532546997,-352
CWK,2023-12-04,2022-12-16,8.460000038146973,11.239999771118164,25436,70712.07320785522,70203.35320785522,0.32624110171703086,215188.5609703064,-352
SJW,2023-12-04,2022-12-16,66.44999694824219,76.69999694824219,1089,11162.25,11140.47,0.1539503456707174,72364.04667663574,-352
FSLR,2022-12-14,2022-12-16,157.88999938964844,155.0800018310547,1583,-4448.226135253906,-4479.886135253906,-0.01792385565604917,249939.86903381348,3
NXST,2022-11-30,2022-11-30,186.24000549316406,189.55999755859375,1342,4455.429351806641,4428.5893518066405,0.01771902903831698,249934.08737182617,1
AR,2022-10-19,2022-10-19,35.459999084472656,36.79999923706055,7050,9447.001075744629,9306.001075744629,0.03722504756538183,249992.99354553223,1
FYBR,2022-09-29,2022-09-30,23.790000915527344,23.43000030517578,10508,-3782.8864135742188,-3993.0464135742186,-0.015973122981409484,249985.32962036133,2
CSGP,2022-09-08,2022-09-12,77.23999786376953,78.44000244140625,3236,3883.214813232422,3818.494813232422,0.015277118206527242,249948.6330871582,5
INVH,2022-09-08,2022-09-12,38.66999816894531,40.11000061035156,6464,9308.17578125,9178.89578125,0.03672103720311552,249962.8681640625,5
DT,2022-09-08,2022-09-12,39.2599983215332,41.5099983215332,6367,14325.75,14198.41,0.056800817507343,249968.4093132019,5
NLY,2022-09-08,2022-09-12,26.200000762939453,26.559999465942383,9541,3434.747625350952,3243.927625350952,0.012977049355046821,249974.20727920532,5
OUT,2022-09-08,2022-09-12,19.49795150756836,20.38934326171875,12821,11428.533679962158,11172.113679962158,0.044691451500028075,249983.23627853394,5
CPRX,2022-09-14,2022-09-14,15.3100004196167,15.520000457763672,16329,3429.0906229019165,3102.5106229019166,0.012410191570179559,249996.99685192108,1
AHCO,2022-08-03,2022-08-03,24.479999542236328,24.850000381469727,10212,3778.448570251465,3574.208570251465,0.014297420170679658,249989.75532531738,1
SHO,2022-07-20,2022-07-20,10.800000190734863,11.020000457763672,23148,5092.566181182861,4629.606181182861,0.018518542916358967,249998.40441513062,1
GRBK,2022-07-15,2022-07-19,23.639999389648438,23.899999618530273,7117,1850.4216289520264,1708.0816289520264,0.01015229420805011,168245.87565612793,5
LRN,2022-06-30,2022-07-01,40.709999084472656,41.31999969482422,6140,3745.4037475585938,3622.6037475585936,0.014492768941785524,249959.3943786621,2
SNCY,2022-06-30,2022-07-01,18.06999969482422,18.360000610351562,8366,2426.147659301758,2258.8276593017576,0.014941943557679194,151173.6174468994,2
EHAB,2022-06-30,2022-06-30,24.0,22.969999313354492,582,-599.4603996276855,-611.1003996276855,-0.04375002861022949,13968.0,1
EYE,2022-06-15,2022-06-15,26.790000915527344,27.799999237060547,9331,9424.294338226318,9237.674338226318,0.03695402343041374,249977.49854278564,1
